System Information:
Processor: 13th Gen Intel(R) Core(TM) i9-13900KF, 32 cores
GPU: NVIDIA GeForce RTX 4090, 24142 MB
RAM: 65225 MB
Operating System: Windows 11  (10.0.22631) 64bit
TIME    FPS    MB   FRAMERATE(ms)   NPCcount  
5,00   183   305,98   5   14
10,00   176   306,59   6   18
15,01   131   307,48   8   22
20,02   147   308,68   7   26
25,02   165   309,27   6   30
30,02   179   309,87   6   34
35,02   154   310,94   6   38
40,03   166   311,76   6   42
45,03   154   312,52   6   46
50,04   159   313,19   6   50
55,04   161   314,10   6   54
60,04   159   314,92   6   58
65,04   138   315,59   7   62
70,05   158   316,30   6   66
75,05   154   317,14   6   70
80,05   133   318,12   8   74
85,06   160   319,16   6   78
90,06   139   320,21   7   82
95,07   141   320,66   7   86
100,07   128   321,04   8   90
105,08   148   321,58   7   94
110,08   127   322,04   8   98
115,09   132   322,70   8   102
120,09   142   323,08   7   106
125,09   131   323,84   8   110
130,10   140   324,19   7   113
135,10   143   324,90   7   116
140,11   125   325,33   8   119
145,11   140   325,59   7   122
150,11   127   326,13   8   125
155,11   131   326,22   8   128
160,12   134   326,78   7   131
165,12   124   327,27   8   134
170,12   120   327,69   8   137
175,13   133   328,22   8   140
180,14   128   328,61   8   143
185,15   122   329,13   8   146
190,15   123   329,20   8   149
195,16   125   330,10   8   152
200,16   137   330,58   7   155
205,17   128   331,41   8   158
210,17   131   331,88   8   161
215,17   113   332,79   9   164
220,17   130   333,42   8   167
225,18   114   334,12   9   170
230,18   116   334,95   9   173
235,19   119   335,60   8   176
240,19   121   336,05   8   179
245,20   108   337,32   9   182
250,20   102   339,10   10   185
255,20   107   341,40   9   188
260,20   109   343,66   9   191
265,21   113   345,92   9   194
270,21   104   348,38   10   197
275,22   107   350,59   9   200
280,22   108   352,76   9   203
285,22   107   355,02   9   206
290,23   97   357,07   10   209
295,23   96   359,03   10   212
300,24   103   361,11   10   215
305,24   106   362,90   9   218
310,25   100   365,21   10   221
315,26   101   367,09   10   224
320,27   94   369,14   11   227
325,27   103   372,17   10   230
330,28   103   373,97   10   233
335,28   107   375,81   9   236
340,29   104   378,02   10   239
345,29   92   380,08   11   242
350,30   96   382,33   10   245
355,30   86   384,28   12   248
360,30   98   386,25   10   251
365,31   99   388,18   10   254
370,31   89   390,74   11   257
375,32   90   396,65   11   260
380,32   88   399,66   11   263
385,33   86   402,60   12   266
390,34   85   405,60   12   269
395,35   85   408,34   12   272
400,36   87   411,68   11   275
405,37   84   414,91   12   278
410,37   81   417,74   12   281
415,37   89   420,73   11   284
420,38   81   424,21   12   287
425,39   88   427,54   11   290
430,40   78   430,85   13   293
435,41   87   434,02   12   296
440,42   78   437,26   13   299
445,43   81   440,46   12   302
450,44   83   443,69   12   305
455,45   85   446,73   12   308
460,46   83   450,12   12   311
465,47   80   453,66   13   314
470,48   80   457,05   13   317
475,48   76   460,48   13   320
480,48   90   463,58   11   323
485,48   84   467,19   12   326
490,49   83   471,10   12   329
495,50   77   475,29   13   332
500,50   85   479,67   12   335
505,51   82   484,20   12   338
510,52   83   488,61   12   341
515,52   76   493,20   13   344
520,53   75   497,39   13   347
525,54   74   501,90   14   350
530,54   70   506,16   14   353
535,55   73   510,49   14   356
540,56   71   514,58   14   359
545,57   77   518,82   13   362
550,58   74   523,27   14   365
555,59   69   527,45   14   368
560,61   69   531,90   14   371
565,61   75   535,80   13   374
570,61   70   540,01   14   377
575,63   73   544,19   14   380
580,63   71   548,42   14   383
585,64   68   552,63   15   386
590,65   70   556,98   14   389
595,66   71   561,01   14   392
600,66   76   565,26   13   395
605,68   63   570,20   16   398
610,69   70   574,29   14   401
615,69   77   578,33   13   404
620,70   69   582,45   15   407
625,71   66   586,79   15   410
630,72   67   590,79   15   413
635,72   70   594,77   14   416
640,73   62   598,83   16   419
645,74   65   602,80   15   422
650,75   68   607,11   15   425
655,77   66   611,10   15   428
660,78   67   615,13   15   431
665,79   66   618,99   15   434
670,80   67   622,61   15   437
